,BankID,FunctionList,Time,Day,Predict
0,1,f1,0,0,5.17253565152396
1,1,f1,0,1,5.189030363735543
2,1,f1,0,2,5.2055250759471265
3,1,f1,0,3,5.222019788158709
4,1,f1,0,4,5.238514500370292
5,1,f1,1,0,6.292899648121968
6,1,f1,1,1,6.309394360333551
7,1,f1,1,2,6.325889072545134
8,1,f1,1,3,6.342383784756717
9,1,f1,1,4,6.3588784969683
10,1,f1,2,0,7.413263644719976
11,1,f1,2,1,7.4297583569315595
12,1,f1,2,2,7.4462530691431414
13,1,f1,2,3,7.462747781354725
14,1,f1,2,4,7.479242493566309
15,1,f1,3,0,8.533627641317985
16,1,f1,3,1,8.550122353529567
17,1,f1,3,2,8.56661706574115
18,1,f1,3,3,8.583111777952734
19,1,f1,3,4,8.599606490164316
20,1,f1,4,0,9.653991637915992
21,1,f1,4,1,9.670486350127575
22,1,f1,4,2,9.686981062339157
23,1,f1,4,3,9.703475774550741
24,1,f1,4,4,9.719970486762325
25,1,f1,5,0,10.774355634513999
26,1,f1,5,1,10.790850346725582
27,1,f1,5,2,10.807345058937166
28,1,f1,5,3,10.823839771148748
29,1,f1,5,4,10.840334483360332
30,1,f1,6,0,11.894719631112007
31,1,f1,6,1,11.91121434332359
32,1,f1,6,2,11.927709055535175
33,1,f1,6,3,11.944203767746757
34,1,f1,6,4,11.960698479958339
35,1,f1,7,0,13.015083627710016
36,1,f1,7,1,13.031578339921598
37,1,f1,7,2,13.048073052133182
38,1,f1,7,3,13.064567764344766
39,1,f1,7,4,13.081062476556347
40,1,f1,8,0,14.135447624308023
41,1,f1,8,1,14.151942336519607
42,1,f1,8,2,14.168437048731189
43,1,f1,8,3,14.184931760942773
44,1,f2,0,0,5.17253565152396
45,1,f2,0,1,5.189030363735543
46,1,f2,0,2,5.2055250759471265
47,1,f2,0,3,5.222019788158709
48,1,f2,0,4,5.238514500370292
49,1,f2,1,0,6.292899648121968
50,1,f2,1,1,6.309394360333551
51,1,f2,1,2,6.325889072545134
52,1,f2,1,3,6.342383784756717
53,1,f2,1,4,6.3588784969683
54,1,f2,2,0,7.413263644719976
55,1,f2,2,1,7.4297583569315595
56,1,f2,2,2,7.4462530691431414
57,1,f2,2,3,7.462747781354725
58,1,f2,2,4,7.479242493566309
59,1,f2,3,0,8.533627641317985
60,1,f2,3,1,8.550122353529567
61,1,f2,3,2,8.56661706574115
62,1,f2,3,3,8.583111777952734
63,1,f2,3,4,8.599606490164316
64,1,f2,4,0,9.653991637915992
65,1,f2,4,1,9.670486350127575
66,1,f2,4,2,9.686981062339157
67,1,f2,4,3,9.703475774550741
68,1,f2,4,4,9.719970486762325
69,1,f2,5,0,10.774355634513999
70,1,f2,5,1,10.790850346725582
71,1,f2,5,2,10.807345058937166
72,1,f2,5,3,10.823839771148748
73,1,f2,5,4,10.840334483360332
74,1,f2,6,0,11.894719631112007
75,1,f2,6,1,11.91121434332359
76,1,f2,6,2,11.927709055535175
77,1,f2,6,3,11.944203767746757
78,1,f2,6,4,11.960698479958339
79,1,f2,7,0,13.015083627710016
80,1,f2,7,1,13.031578339921598
81,1,f2,7,2,13.048073052133182
82,1,f2,7,3,13.064567764344766
83,1,f2,7,4,13.081062476556347
84,1,f2,8,0,14.135447624308023
85,1,f2,8,1,14.151942336519607
86,1,f2,8,2,14.168437048731189
87,1,f2,8,3,14.184931760942773
88,1,f3,0,0,5.17253565152396
89,1,f3,0,1,5.189030363735543
90,1,f3,0,2,5.2055250759471265
91,1,f3,0,3,5.222019788158709
92,1,f3,0,4,5.238514500370292
93,1,f3,1,0,6.292899648121968
94,1,f3,1,1,6.309394360333551
95,1,f3,1,2,6.325889072545134
96,1,f3,1,3,6.342383784756717
97,1,f3,1,4,6.3588784969683
98,1,f3,2,0,7.413263644719976
99,1,f3,2,1,7.4297583569315595
100,1,f3,2,2,7.4462530691431414
101,1,f3,2,3,7.462747781354725
102,1,f3,2,4,7.479242493566309
103,1,f3,3,0,8.533627641317985
104,1,f3,3,1,8.550122353529567
105,1,f3,3,2,8.56661706574115
106,1,f3,3,3,8.583111777952734
107,1,f3,3,4,8.599606490164316
108,1,f3,4,0,9.653991637915992
109,1,f3,4,1,9.670486350127575
110,1,f3,4,2,9.686981062339157
111,1,f3,4,3,9.703475774550741
112,1,f3,4,4,9.719970486762325
113,1,f3,5,0,10.774355634513999
114,1,f3,5,1,10.790850346725582
115,1,f3,5,2,10.807345058937166
116,1,f3,5,3,10.823839771148748
117,1,f3,5,4,10.840334483360332
118,1,f3,6,0,11.894719631112007
119,1,f3,6,1,11.91121434332359
120,1,f3,6,2,11.927709055535175
121,1,f3,6,3,11.944203767746757
122,1,f3,6,4,11.960698479958339
123,1,f3,7,0,13.015083627710016
124,1,f3,7,1,13.031578339921598
125,1,f3,7,2,13.048073052133182
126,1,f3,7,3,13.064567764344766
127,1,f3,7,4,13.081062476556347
128,1,f3,8,0,14.135447624308023
129,1,f3,8,1,14.151942336519607
130,1,f3,8,2,14.168437048731189
131,1,f3,8,3,14.184931760942773
